#datetime,vwap
1591034880,20.4524
1591034940,20.4182
1591035000,20.4182
1591035060,20.4256
1591035120,20.4269
1591035180,20.4575
1591035240,20.4820
1591035300,20.4736
1591035360,20.4694
1591035420,20.4763
1591035480,20.4885
1591035540,20.4799
1591035600,20.4951
1591035660,20.4827
1591035720,20.4807
1591035780,20.4821
1591035840,20.4812
1591035900,20.4765
1591035960,20.4616
1591036020,20.4174
1591036080,20.4487
1591036140,20.4729
1591036200,20.4761
1591036260,20.4731
1591036320,20.4970
1591036380,20.4998
1591036440,20.4825
1591036500,20.4733
1591036560,20.4710
1591036620,20.4734
1591036680,20.4747
1591036740,20.4828
1591036800,20.4844
1591036860,20.4766
1591036920,20.4705
1591036980,20.4807
1591037040,20.4777
1591037100,20.4717
1591037160,20.4701
1591037220,20.4830
1591037280,20.4931
1591037340,20.4952
1591037400,20.4914
1591037460,20.5129
1591037520,20.5189
1591037580,20.5109
1591037640,20.5112
1591037700,20.5043
1591037760,20.5095
1591037820,20.4763
1591037880,20.4726
1591037940,20.4725
1591038000,20.4773
1591038060,20.4805
1591038120,20.4763
1591038180,20.4798
1591038240,20.4944
1591038300,20.4900
1591038360,20.4905
1591038420,20.4887
1591038480,20.5014
1591038540,20.5017
1591038600,20.5042
1591038660,20.4926
1591038720,20.4987
1591038780,20.4849
1591038840,20.4784
1591038900,20.4707
1591038960,20.4672
1591039020,20.4780
1591039080,20.4791
1591039140,20.4695
1591039200,20.4608
1591039260,20.4521
1591039320,20.4637
1591039380,20.4596
1591039440,20.4491
1591039500,20.4284
1591039560,20.4379
1591039620,20.4323
1591039680,20.4160
1591039740,20.4082
1591039800,20.3933
1591039860,20.4365
1591039920,20.4465
1591039980,20.4356
1591040040,20.4329
1591040100,20.4313
1591040160,20.4115
1591040220,20.4036
1591040280,20.4023
1591040340,20.4061
1591040400,20.4103
1591040460,20.4056
1591040520,20.4160
1591040580,20.4085
1591040640,20.4018
1591040700,20.4028
1591040760,20.3791
1591040820,20.3489
1591040880,20.3298
1591040940,20.3712
1591041000,20.3791
1591041060,20.3962
1591041120,20.3989
1591041180,20.4070
1591041240,20.4215
1591042260,20.3300
1591043400,20.3538
1591043460,20.3687
1591043520,20.3503
1591043580,20.3587
1591043640,20.3597
1591043700,20.3497
1591043760,20.3444
1591043820,20.3496
1591043880,20.3500
1591043940,20.3415
1591044000,20.3504
1591044060,20.3559
1591044120,20.3597
1591044180,20.3700
1591044240,20.3644
1591044300,20.3696
1591044360,20.3985
1591044420,20.4057
1591044480,20.3995
1591044540,20.3900
1591044600,20.3964
1591044660,20.4000
1591044720,20.3995
1591044780,20.3988
1591044840,20.3914
1591044900,20.3908
1591044960,20.3763
1591045020,20.3691
1591045080,20.3534
1591045140,20.3624
1591103460,20.7489
1591103520,20.7595
1591103580,20.7483
1591103640,20.6979
1591103700,20.6934
1591103760,20.7187
1591103820,20.7138
1591103880,20.6862
1591103940,20.6534
1591104000,20.6830
1591104060,20.6618
1591104120,20.6509
1591104180,20.6606
1591104240,20.6533
1591104300,20.6514
1591104360,20.6798
1591104420,20.7134
1591104480,20.7385
1591104540,20.7359
1591104600,20.7008
1591104660,20.7039
1591104720,20.7221
1591104780,20.6956
1591104840,20.7003
1591104900,20.6702
1591104960,20.6594
1591105020,20.6390
1591105080,20.6166
1591105140,20.6637
1591105200,20.6750
1591105260,20.7021
1591105320,20.7008
1591105380,20.7090
1591105440,20.7077
1591105500,20.7055
1591105560,20.6995
1591105620,20.6877
1591105680,20.6894
1591105740,20.6840
1591105800,20.6852
1591105860,20.7109
1591105920,20.7284
1591105980,20.7416
1591106040,20.7370
1591106100,20.7319
1591106160,20.7294
1591106220,20.7296
1591106280,20.7005
1591106340,20.6999
1591106400,20.7126
1591106460,20.7097
1591106520,20.7051
1591106580,20.7010
1591106640,20.7076
1591106700,20.7041
1591106760,20.7138
1591106820,20.7241
1591106880,20.7358
1591106940,20.7334
1591107000,20.7181
1591107060,20.7359
1591107120,20.7210
1591107180,20.7134
1591107240,20.7211
1591107300,20.7246
1591107360,20.7290
1591107420,20.7433
1591107480,20.7518
1591107540,20.7581
1591107600,20.7771
1591107660,20.7607
1591107720,20.7551
1591107780,20.7728
1591107840,20.7648
1591107900,20.7703
1591107960,20.7948
1591108020,20.8003
1591108080,20.8011
1591108140,20.8103
1591108200,20.8126
1591108260,20.7958
1591108320,20.7782
1591108380,20.7972
1591108440,20.8125
1591108500,20.8337
1591108560,20.8441
1591108620,20.8393
1591108680,20.8336
1591108740,20.8303
1591108800,20.8448
1591108860,20.8664
1591108920,20.8398
1591108980,20.8286
1591109040,20.8186
1591109100,20.8116
1591109160,20.8093
1591109220,20.8199
1591109280,20.8272
1591109340,20.8092
1591109400,20.7816
1591109460,20.7995
1591109520,20.7995
1591109580,20.7720
1591109640,20.7725
1591109700,20.7731
1591109760,20.7521
1591109820,20.7495
1591109880,20.7676
1591109940,20.7865
1591110000,20.7866
1591110060,20.7805
1591110120,20.7692
1591110180,20.7459
1591110240,20.7768
1591110300,20.8017
1591110360,20.8031
1591110420,20.8133
1591110480,20.8084
1591110540,20.8105
1591110600,20.8359
1591110660,20.8562
1591110720,20.8593
1591110780,20.8623
1591110840,20.8556
1591110900,20.8537
1591110960,20.8753
1591111020,20.8650
1591111080,20.8753
1591111140,20.8758
1591111200,20.8691
1591111260,20.8654
1591111320,20.8631
1591111380,20.8642
1591111440,20.8543
1591111500,20.8622
1591111560,20.8696
1591111620,20.8539
1591111680,20.8450
1591111740,20.8416
1591111800,20.8287
1591111860,20.8432
1591111920,20.8589
1591111980,20.8475
1591112040,20.8323
1591112100,20.8181
1591112160,20.8251
1591112220,20.8194
1591112280,20.8118
1591112340,20.8113
1591112400,20.8105
1591112460,20.8264
1591112520,20.8209
1591112580,20.8234
1591112640,20.8276
1591112700,20.8209
1591112760,20.8262
1591112820,20.8444
1591112880,20.8386
1591112940,20.8252
1591113000,20.8166
1591113060,20.8187
1591113120,20.8205
1591113180,20.8239
1591113240,20.8323
1591113300,20.8378
1591113360,20.8354
1591113420,20.8408
1591113480,20.8351
1591113540,20.8421
1591113600,20.8407
1591113660,20.8523
1591113720,20.8543
1591113780,20.8447
1591113840,20.8381
1591113900,20.8256
1591113960,20.8269
1591114020,20.8205
1591114080,20.8240
1591114140,20.8314
1591114200,20.8307
1591114260,20.8393
1591114320,20.8478
1591114380,20.8503
1591114440,20.8497
1591114500,20.8503
1591114560,20.8510
1591114620,20.8462
1591114680,20.8423
1591114740,20.8429
1591114800,20.8450
1591114860,20.8475
1591114920,20.8474
1591114980,20.8579
1591115040,20.8597
1591115100,20.8614
1591115160,20.8606
1591115220,20.8685
1591115280,20.8735
